sourceOccurrenceId,sourceTaxonId,sourceTaxonName,sourceBodyPartId,sourceBodyPartName,sourceLifeStageId,sourceLifeStageName,interactionTypeId,interactionTypeName,targetOccurrenceId,targetTaxonId,targetTaxonName,targetBodyPartId,targetBodyPartName,targetLifeStageId,targetLifeStageName,localityId,localityName,decimalLatitude,decimalLongitude,YYYY,MM,DD,HH,mm,ss,observationDateTime,referenceDoi,referenceUrl,referenceCitation
,WORMS:421750,Synalpheus agelas,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,San Blas Islands,GEONAMES:6941930,San Blas Islands,9.566666667,-78.96666667,1992,1,1,0,0,0,1992-1-1T00:00:00Z,10.3354/meps090127,https://www.researchgate.net/publication/238451302_Host_use_patterns_and_demography_in_a_guild_of_tropical_sponge-dwelling_shrimps,"Duffy J E (1992). Host use patterns and demography in a guild of tropical sponge-dwelling shrimps. Marine Ecology Progress Series, 90, 127–138."
,WORMS:421750,Synalpheus agelas,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Carrie Bow Cay,GEONAMES:3582452,Carrie Bow Cay,16.783,-88.067,2006,1,1,0,0,0,2006-1-1T00:00:00Z,10.1111/j.1366-9516.2005.00213.x ,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1366-9516.2005.00213.x,"Macdonald K S, Ríos R, Duffy J E (2006) Biodiversity, host specificity, and dominance by eusocial species among sponge-dwelling alpheid shrimp on the Belize Barrier Reef. Divers Distrib 12:165–178"
,WORMS:421750,Synalpheus agelas,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Discobery Bay,GEONAMES:3489940,Discobery Bay,18.4657,-77.405,2010,1,1,0,0,0,2010-1-1T00:00:00Z,10.3354/meps08609 ,https://www.int-res.com/articles/feature/m407p001.pdf,Hultgren KM y Duffy JE (2010) Sponge host characteristics shape the community structure of their shrimp associates. Mar Ecol Prog Ser 407:1–12
,WORMS:515114,Synalpheus androsi,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Carrie Bow Cay,GEONAMES:3582452,Carrie Bow Cay,16.783,-88.067,2006,1,1,0,0,0,2006-1-1T00:00:00Z,10.1111/j.1366-9516.2005.00213.x ,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1366-9516.2005.00213.x,"Macdonald K S, Ríos R, Duffy J E (2006) Biodiversity, host specificity, and dominance by eusocial species among sponge-dwelling alpheid shrimp on the Belize Barrier Reef. Divers Distrib 12:165–178"
,WORMS:421753,Synalpheus bousfieldi,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Carrie Bow Cay,GEONAMES:3582452,Carrie Bow Cay,16.783,-88.067,2006,1,1,0,0,0,2006-1-1T00:00:00Z,10.1111/j.1366-9516.2005.00213.x ,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1366-9516.2005.00213.x,"Macdonald K S, Ríos R, Duffy J E (2006) Biodiversity, host specificity, and dominance by eusocial species among sponge-dwelling alpheid shrimp on the Belize Barrier Reef. Divers Distrib 12:165–178"
,WORMS:421755,Synalpheus brooksi,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,San Blas Islands,GEONAMES:6941930,San Blas Islands,9.566666667,-78.96666667,1992,1,1,0,0,0,1992-1-1T00:00:00Z,10.3354/meps090127,https://www.researchgate.net/publication/238451302_Host_use_patterns_and_demography_in_a_guild_of_tropical_sponge-dwelling_shrimps,"Duffy J E (1992). Host use patterns and demography in a guild of tropical sponge-dwelling shrimps. Marine Ecology Progress Series, 90, 127–138."
,WORMS:390246,Synalpheus carpenteri,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Discobery Bay,GEONAMES:3489940,Discobery Bay,18.4657,-77.405,2010,1,1,0,0,0,2010-1-1T00:00:00Z,10.3354/meps08609 ,https://www.int-res.com/articles/feature/m407p001.pdf,Hultgren KM y Duffy JE (2010) Sponge host characteristics shape the community structure of their shrimp associates. Mar Ecol Prog Ser 407:1–12
,WORMS:515130,Synalpheus chacei,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Carrie Bow Cay,GEONAMES:3582452,Carrie Bow Cay,16.783,-88.067,1998,1,1,0,0,0,1998-1-1T00:00:00Z,10.11646/zootaxa.2834.1.1 ,https://biotaxa.org/Zootaxa/article/view/zootaxa.2834.1.1,"Duffy J E (1998) On the frequency of eusociality in snapping shrimps (Decapoda: Alpheidae), with description of a second eusocial species. Bulletin of Marine Science, 63(2), 387–400."
,WORMS:515130,Synalpheus chacei,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Carrie Bow Cay,GEONAMES:3582452,Carrie Bow Cay,16.783,-88.067,2006,1,1,0,0,0,2006-1-1T00:00:00Z,10.1111/j.1366-9516.2005.00213.x ,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1366-9516.2005.00213.x,"Macdonald K S, Ríos R, Duffy J E (2006) Biodiversity, host specificity, and dominance by eusocial species among sponge-dwelling alpheid shrimp on the Belize Barrier Reef. Divers Distrib 12:165–178"
,WORMS:421758,Synalpheus heardi,,,,,http://purl.obolibrary.org/obo/RO_0002440,symbiontOf,,WORMS:164823,Agelas clathrodes,http://purl.obolibrary.org/obo/PORO_0000039,Canals,,Carrie Bow Cay,GEONAMES:3582452,Carrie Bow Cay,16.783,-88.067,2006,1,1,0,0,0,2006-1-1T00:00:00Z,10.1111/j.1366-9516.2005.00213.x ,https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1366-9516.2005.00213.x,"Macdonald K S, Ríos R, Duffy J E (2006) Biodiversity, host specificity, and dominance by eusocial species among sponge-dwelling alpheid shrimp on the Belize Barrier Reef. Divers Distrib 12:165–178"
